birth,death,dim
0.000000000000000000e+00,1.294967532157897949e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.324794530868530273e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.339506983757019043e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.354346632957458496e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.365328311920166016e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.367756724357604980e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.381107568740844727e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.387008905410766602e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.390921950340270996e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.411557674407958984e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.415258407592773438e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.421371817588806152e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.431611895561218262e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.467487573623657227e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.476438045501708984e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.482390403747558594e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.504346728324890137e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.522426962852478027e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.575110197067260742e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.583533406257629395e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.625768065452575684e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.722173452377319336e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.752771854400634766e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.786780953407287598e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.830374240875244141e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.840188384056091309e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.866045236587524414e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.936777591705322266e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.985322356224060059e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.016946554183959961e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.039348125457763672e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.048918247222900391e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.096612215042114258e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.098896503448486328e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.219694375991821289e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.258381843566894531e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.344472646713256836e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.480403661727905273e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.560239553451538086e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.578749179840087891e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.652616500854492188e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.675902366638183594e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.845436573028564453e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.846736192703247070e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.860668897628784180e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.925355672836303711e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.059502363204956055e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.082849025726318359e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.113707304000854492e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.187046766281127930e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.263479948043823242e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.273078203201293945e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.391432285308837891e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.408080816268920898e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.450237989425659180e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.454435586929321289e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.455385684967041016e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.485112905502319336e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.486104011535644531e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.487277269363403320e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.647905588150024414e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.988894701004028320e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.057810783386230469e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.093169689178466797e+00,0.000000000000000000e+00
